#src	how	bytes	path
hemco	exact	5674736	/input/HEMCO/RCP/v2020-07/RCP_3PD/RCPs_anthro_SO2_2005-2100_23474.nc
hemco	exact	5668538	/input/HEMCO/RCP/v2020-07/RCP_3PD/RCPs_anthro_acetylene_2005-2100_23474_kgC.nc
hemco	exact	5656916	/input/HEMCO/RCP/v2020-07/RCP_60/RCPs_anthro_CH4_2005-2100_43190.nc
hemco	exact	5622799	/input/HEMCO/RCP/v2020-07/RCP_60/RCPs_anthro_xylene_2005-2100_43190_kgC.nc
extdata	exact	5621191	/input/HEMCO/MEGAN/v2018-05/CLM4_PFT.geos.025x03125.v201805.nc
hemco	exact	5600423	/input/HEMCO/RCP/v2020-07/RCP_85/RCPs_anthro_OC_2005-2100_43533.nc
hemco	exact	5592696	/input/HEMCO/RCP/v2020-07/RCP_60/RCPs_anthro_acetylene_2005-2100_43190_kgC.nc
hemco	exact	5560903	/input/HEMCO/RCP/v2020-07/RCP_85/RCPs_anthro_BC_2005-2100_43533.nc
hemco	exact	5524276	/input/HEMCO/RCP/v2020-07/RCP_60/RCPs_anthro_OC_2005-2100_43190.nc
hemco	exact	5519049	/input/HEMCO/RCP/v2020-07/RCP_85/RCPs_anthro_CH4_2005-2100_43533.nc
hemco	exact	5487622	/input/HEMCO/EDGARv43/v2016-11/EDGAR_v43.SO2.POW.0.1x0.1.nc
hemco	exact	5484489	/input/HEMCO/EDGARv43/v2016-11/EDGAR_v43.CO.POW.0.1x0.1.nc
hemco	exact	5482906	/input/HEMCO/EDGARv43/v2016-11/EDGAR_v43.NOx.POW.0.1x0.1.nc
hemco	exact	5478955	/input/HEMCO/EDGARv43/v2016-11/EDGAR_v43.OC.POW.0.1x0.1.nc
hemco	exact	5476413	/input/HEMCO/EDGARv43/v2016-11/EDGAR_v43.BC.POW.0.1x0.1.nc
hemco	exact	5475266	/input/HEMCO/EDGARv43/v2016-11/EDGAR_v43.NH3.POW.0.1x0.1.nc
hemco	exact	5466251	/input/HEMCO/RCP/v2020-07/RCP_45/RCPs_anthro_OC_2005-2100_27424.nc
